checking_balance,loan_duration,credit_history,purpose,credit_balance,employment_duration,guarantor,assets,age,housing,existing_credits,employment_duration,num_dependents,foreign,loan_status
no checking,18.0,delayed previously,furniture/equipment,1808.0,4<=X<7,none,real estate,22.0,own,1.0,skilled,1.0,yes,bad
<0,12.0,existing paid,furniture/equipment,2577.0,1<=X<4,none,car,42.0,own,1.0,skilled,1.0,yes,good
no checking,24.0,critical/other existing credit,furniture/equipment,2028.0,4<=X<7,none,life insurance,30.0,own,2.0,unskilled resident,1.0,yes,good
0<=X<200,12.0,existing paid,business,841.0,4<=X<7,none,real estate,23.0,rent,1.0,unskilled resident,1.0,yes,good
no checking,18.0,critical/other existing credit,new car,2775.0,4<=X<7,none,life insurance,31.0,own,2.0,skilled,1.0,yes,bad
no checking,12.0,existing paid,new car,1101.0,1<=X<4,none,real estate,27.0,own,2.0,skilled,1.0,yes,good
no checking,18.0,no credits/all paid,business,4165.0,1<=X<4,none,car,36.0,own,2.0,skilled,2.0,yes,bad
<0,24.0,all paid,radio/tv,1546.0,4<=X<7,guarantor,car,24.0,rent,1.0,unskilled resident,1.0,yes,bad
0<=X<200,9.0,existing paid,radio/tv,790.0,1<=X<4,none,real estate,66.0,own,1.0,unskilled resident,1.0,yes,good
no checking,12.0,critical/other existing credit,business,2292.0,unemployed,none,car,42.0,own,2.0,high qualif/self emp/mgmt,1.0,yes,bad
<0,45.0,existing paid,radio/tv,1845.0,1<=X<4,none,no known property,23.0,for free,1.0,skilled,1.0,yes,bad
<0,12.0,critical/other existing credit,new car,4843.0,>=7,co applicant,life insurance,43.0,rent,2.0,skilled,1.0,yes,bad
<0,12.0,existing paid,domestic appliance,741.0,unemployed,none,life insurance,22.0,own,1.0,skilled,1.0,yes,bad
<0,36.0,existing paid,furniture/equipment,2712.0,>=7,none,life insurance,41.0,own,1.0,skilled,2.0,yes,bad
no checking,6.0,existing paid,radio/tv,518.0,1<=X<4,none,real estate,29.0,own,1.0,skilled,1.0,yes,good
>=200,18.0,existing paid,furniture/equipment,2864.0,1<=X<4,none,real estate,34.0,own,1.0,unskilled resident,2.0,yes,bad
<0,36.0,critical/other existing credit,used car,9629.0,4<=X<7,none,car,24.0,own,2.0,skilled,1.0,yes,bad
>=200,10.0,critical/other existing credit,new car,781.0,>=7,none,no known property,63.0,for free,2.0,skilled,1.0,yes,good
0<=X<200,6.0,existing paid,radio/tv,2063.0,<1,none,car,30.0,rent,1.0,high qualif/self emp/mgmt,1.0,yes,good
no checking,24.0,critical/other existing credit,business,4526.0,1<=X<4,none,real estate,74.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
<0,12.0,all paid,retraining,339.0,>=7,none,car,45.0,own,1.0,unskilled resident,1.0,yes,good
<0,42.0,delayed previously,radio/tv,4370.0,4<=X<7,none,life insurance,26.0,own,2.0,skilled,2.0,yes,bad
<0,48.0,critical/other existing credit,used car,6143.0,>=7,none,no known property,58.0,for free,2.0,unskilled resident,1.0,yes,bad
no checking,18.0,critical/other existing credit,radio/tv,6070.0,>=7,none,car,33.0,own,2.0,skilled,1.0,yes,good
no checking,11.0,critical/other existing credit,radio/tv,1154.0,unemployed,none,real estate,57.0,own,3.0,unskilled resident,1.0,yes,good
no checking,15.0,critical/other existing credit,radio/tv,1829.0,>=7,none,car,46.0,own,2.0,skilled,1.0,yes,good
>=200,10.0,existing paid,new car,3949.0,<1,guarantor,life insurance,37.0,own,1.0,unskilled resident,2.0,yes,good
0<=X<200,12.0,critical/other existing credit,used car,1804.0,<1,none,life insurance,44.0,own,1.0,skilled,1.0,yes,good
0<=X<200,7.0,existing paid,radio/tv,2329.0,<1,guarantor,real estate,45.0,own,1.0,skilled,1.0,yes,good
no checking,48.0,critical/other existing credit,radio/tv,3578.0,>=7,none,real estate,47.0,own,1.0,skilled,1.0,yes,good
no checking,18.0,critical/other existing credit,radio/tv,1800.0,1<=X<4,none,car,24.0,own,2.0,skilled,1.0,yes,good
0<=X<200,24.0,existing paid,used car,4113.0,<1,none,car,28.0,rent,1.0,skilled,1.0,yes,bad
no checking,30.0,critical/other existing credit,radio/tv,5771.0,4<=X<7,none,car,25.0,own,2.0,skilled,1.0,yes,good
<0,6.0,existing paid,new car,662.0,<1,none,real estate,41.0,own,1.0,unskilled resident,2.0,yes,good
<0,10.0,critical/other existing credit,furniture/equipment,2132.0,<1,co applicant,real estate,27.0,rent,2.0,skilled,1.0,no,good
no checking,12.0,critical/other existing credit,new car,1163.0,1<=X<4,none,real estate,44.0,own,1.0,skilled,1.0,yes,good
<0,36.0,existing paid,used car,8229.0,1<=X<4,none,life insurance,26.0,own,1.0,skilled,2.0,yes,bad
<0,24.0,existing paid,new car,915.0,>=7,none,car,29.0,own,1.0,skilled,1.0,yes,bad
0<=X<200,30.0,critical/other existing credit,new car,5234.0,unemployed,none,car,28.0,own,2.0,high qualif/self emp/mgmt,1.0,yes,bad
0<=X<200,30.0,critical/other existing credit,new car,4249.0,unemployed,none,car,28.0,own,2.0,high qualif/self emp/mgmt,1.0,yes,bad
<0,12.0,all paid,new car,697.0,<1,none,car,46.0,own,2.0,skilled,1.0,yes,bad
<0,30.0,existing paid,furniture/equipment,2406.0,4<=X<7,none,real estate,23.0,rent,1.0,skilled,1.0,yes,bad
no checking,9.0,existing paid,furniture/equipment,1313.0,>=7,none,car,20.0,own,1.0,skilled,1.0,yes,good
0<=X<200,21.0,delayed previously,new car,2353.0,1<=X<4,none,life insurance,47.0,own,2.0,skilled,1.0,yes,good
no checking,10.0,existing paid,used car,2848.0,1<=X<4,co applicant,real estate,32.0,own,1.0,skilled,2.0,yes,good
no checking,12.0,critical/other existing credit,furniture/equipment,5801.0,>=7,none,life insurance,49.0,rent,1.0,skilled,1.0,yes,good
0<=X<200,12.0,critical/other existing credit,domestic appliance,1424.0,4<=X<7,none,life insurance,26.0,own,1.0,skilled,1.0,yes,good
no checking,24.0,critical/other existing credit,radio/tv,1851.0,4<=X<7,guarantor,car,33.0,own,2.0,skilled,1.0,yes,good
>=200,36.0,existing paid,radio/tv,3913.0,1<=X<4,none,real estate,23.0,own,1.0,skilled,1.0,yes,good
no checking,60.0,delayed previously,radio/tv,15653.0,4<=X<7,none,car,21.0,own,2.0,skilled,1.0,yes,good
<0,48.0,existing paid,radio/tv,6758.0,1<=X<4,none,car,31.0,own,1.0,skilled,1.0,yes,bad
0<=X<200,48.0,existing paid,furniture/equipment,9960.0,<1,none,car,26.0,own,1.0,skilled,1.0,yes,bad
no checking,48.0,existing paid,radio/tv,10222.0,4<=X<7,none,car,37.0,own,1.0,skilled,1.0,yes,good
no checking,18.0,critical/other existing credit,radio/tv,2404.0,1<=X<4,none,car,26.0,own,2.0,skilled,1.0,yes,good
0<=X<200,12.0,existing paid,radio/tv,1331.0,<1,none,car,22.0,own,1.0,skilled,1.0,yes,bad
no checking,24.0,existing paid,radio/tv,3235.0,>=7,none,car,26.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
no checking,30.0,existing paid,radio/tv,2333.0,>=7,none,car,30.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
<0,12.0,existing paid,radio/tv,2214.0,1<=X<4,none,life insurance,24.0,own,1.0,unskilled resident,1.0,yes,good
0<=X<200,36.0,existing paid,used car,6948.0,1<=X<4,none,car,35.0,rent,1.0,high qualif/self emp/mgmt,1.0,yes,good
no checking,18.0,existing paid,furniture/equipment,3422.0,>=7,none,life insurance,47.0,own,3.0,skilled,2.0,yes,good
no checking,24.0,existing paid,radio/tv,3621.0,>=7,none,car,31.0,own,2.0,skilled,1.0,yes,bad
no checking,21.0,delayed previously,business,2580.0,<1,none,real estate,41.0,own,1.0,unskilled resident,2.0,yes,bad
<0,18.0,existing paid,used car,7511.0,>=7,none,life insurance,51.0,for free,1.0,skilled,2.0,yes,bad
0<=X<200,30.0,delayed previously,radio/tv,1919.0,<1,none,no known property,30.0,own,2.0,high qualif/self emp/mgmt,1.0,yes,bad
<0,12.0,no credits/all paid,new car,1082.0,1<=X<4,none,car,48.0,own,2.0,skilled,1.0,yes,bad
<0,14.0,existing paid,new car,8978.0,>=7,none,life insurance,45.0,own,1.0,high qualif/self emp/mgmt,1.0,no,bad
<0,24.0,all paid,new car,2325.0,4<=X<7,none,car,32.0,own,1.0,skilled,1.0,yes,good
<0,24.0,existing paid,radio/tv,2384.0,>=7,none,real estate,64.0,rent,1.0,unskilled resident,1.0,yes,good
<0,48.0,existing paid,used car,4788.0,4<=X<7,none,life insurance,26.0,own,1.0,skilled,2.0,yes,good
<0,12.0,existing paid,furniture/equipment,1620.0,1<=X<4,co applicant,life insurance,30.0,own,1.0,skilled,1.0,yes,good
no checking,30.0,all paid,used car,7485.0,unemployed,none,real estate,53.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,bad
<0,18.0,existing paid,radio/tv,1345.0,1<=X<4,none,real estate,26.0,own,1.0,skilled,1.0,yes,bad
no checking,10.0,critical/other existing credit,furniture/equipment,2069.0,1<=X<4,none,car,26.0,own,2.0,skilled,1.0,no,good
0<=X<200,18.0,critical/other existing credit,furniture/equipment,1928.0,<1,none,real estate,31.0,own,2.0,unskilled resident,1.0,yes,bad
no checking,36.0,critical/other existing credit,business,6304.0,>=7,none,real estate,36.0,own,2.0,skilled,1.0,yes,good
no checking,12.0,existing paid,radio/tv,707.0,1<=X<4,none,real estate,30.0,own,2.0,skilled,1.0,yes,good
>=200,12.0,existing paid,furniture/equipment,1424.0,>=7,none,real estate,55.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
0<=X<200,9.0,existing paid,new car,276.0,1<=X<4,none,real estate,22.0,rent,1.0,unskilled resident,1.0,yes,good
no checking,48.0,existing paid,business,3914.0,1<=X<4,none,real estate,38.0,own,1.0,skilled,1.0,yes,bad
<0,12.0,existing paid,education,795.0,<1,none,life insurance,53.0,own,1.0,skilled,1.0,yes,bad
0<=X<200,12.0,existing paid,new car,1295.0,<1,none,car,25.0,rent,1.0,skilled,1.0,yes,bad
no checking,12.0,existing paid,furniture/equipment,1123.0,1<=X<4,none,car,29.0,rent,1.0,unskilled resident,1.0,yes,bad
0<=X<200,12.0,existing paid,new car,7472.0,unemployed,none,real estate,24.0,rent,1.0,unemp/unskilled non res,1.0,yes,good
<0,21.0,existing paid,new car,3763.0,4<=X<7,co applicant,real estate,24.0,own,1.0,unskilled resident,1.0,no,good
<0,24.0,existing paid,new car,4817.0,4<=X<7,co applicant,life insurance,31.0,own,1.0,skilled,1.0,yes,bad
no checking,9.0,critical/other existing credit,education,936.0,>=7,none,car,52.0,own,2.0,skilled,1.0,yes,good
no checking,33.0,delayed previously,business,2764.0,1<=X<4,none,car,26.0,own,2.0,skilled,1.0,yes,good
<0,36.0,all paid,furniture/equipment,2746.0,>=7,none,car,31.0,own,1.0,skilled,1.0,yes,bad
<0,24.0,existing paid,furniture/equipment,3345.0,>=7,none,life insurance,39.0,rent,1.0,high qualif/self emp/mgmt,1.0,yes,bad
no checking,15.0,delayed previously,furniture/equipment,960.0,4<=X<7,none,life insurance,30.0,own,2.0,skilled,1.0,yes,good
0<=X<200,48.0,existing paid,radio/tv,3060.0,4<=X<7,none,real estate,28.0,own,2.0,skilled,1.0,yes,bad
<0,21.0,existing paid,radio/tv,1835.0,1<=X<4,none,real estate,25.0,own,2.0,skilled,1.0,yes,bad
>=200,24.0,critical/other existing credit,furniture/equipment,3617.0,>=7,co applicant,no known property,20.0,rent,2.0,skilled,1.0,yes,good
<0,28.0,existing paid,new car,4006.0,1<=X<4,none,car,45.0,own,1.0,unskilled resident,1.0,yes,bad
<0,21.0,existing paid,radio/tv,3357.0,<1,none,car,29.0,own,1.0,skilled,1.0,yes,good
no checking,12.0,critical/other existing credit,furniture/equipment,1935.0,>=7,none,real estate,43.0,own,3.0,skilled,1.0,yes,good
<0,24.0,existing paid,furniture/equipment,3149.0,<1,none,no known property,22.0,for free,1.0,skilled,1.0,yes,good
0<=X<200,12.0,no credits/all paid,furniture/equipment,2969.0,<1,none,life insurance,25.0,rent,2.0,skilled,1.0,yes,bad
<0,12.0,existing paid,new car,1274.0,<1,none,real estate,37.0,own,1.0,unskilled resident,1.0,yes,bad
>=200,36.0,existing paid,radio/tv,4210.0,1<=X<4,none,car,26.0,own,1.0,skilled,1.0,yes,bad
0<=X<200,48.0,delayed previously,business,6681.0,1<=X<4,none,no known property,38.0,for free,1.0,skilled,2.0,yes,good
no checking,12.0,existing paid,radio/tv,804.0,>=7,none,car,38.0,own,1.0,skilled,1.0,yes,good
<0,21.0,delayed previously,education,3414.0,<1,none,life insurance,26.0,own,2.0,skilled,1.0,yes,bad
0<=X<200,42.0,critical/other existing credit,business,5954.0,4<=X<7,none,real estate,41.0,own,2.0,unskilled resident,1.0,yes,good
>=200,15.0,existing paid,education,392.0,<1,none,life insurance,23.0,rent,1.0,skilled,1.0,yes,good
no checking,24.0,existing paid,new car,2255.0,<1,none,life insurance,54.0,own,1.0,skilled,1.0,yes,good
no checking,12.0,existing paid,radio/tv,886.0,1<=X<4,none,car,21.0,own,1.0,skilled,1.0,yes,good
0<=X<200,8.0,existing paid,furniture/equipment,1237.0,1<=X<4,none,real estate,24.0,own,1.0,skilled,1.0,yes,bad
no checking,24.0,delayed previously,new car,2032.0,>=7,none,no known property,60.0,for free,2.0,skilled,1.0,yes,good
0<=X<200,36.0,existing paid,repairs,2384.0,<1,none,no known property,33.0,rent,1.0,unskilled resident,1.0,yes,bad
no checking,15.0,existing paid,used car,3029.0,4<=X<7,none,car,33.0,own,1.0,skilled,1.0,yes,good
no checking,27.0,existing paid,new car,2570.0,1<=X<4,none,real estate,21.0,rent,1.0,skilled,1.0,yes,bad
no checking,12.0,existing paid,furniture/equipment,1736.0,4<=X<7,none,real estate,31.0,own,1.0,unskilled resident,1.0,yes,good
0<=X<200,24.0,existing paid,radio/tv,2039.0,<1,none,life insurance,22.0,own,1.0,skilled,1.0,yes,bad
>=200,21.0,critical/other existing credit,education,2319.0,<1,none,car,33.0,rent,1.0,skilled,1.0,yes,bad
0<=X<200,18.0,critical/other existing credit,new car,884.0,>=7,none,car,36.0,own,1.0,skilled,2.0,yes,bad
<0,6.0,critical/other existing credit,furniture/equipment,3384.0,1<=X<4,none,real estate,44.0,rent,1.0,high qualif/self emp/mgmt,1.0,yes,bad
0<=X<200,13.0,critical/other existing credit,radio/tv,882.0,<1,guarantor,real estate,23.0,own,2.0,skilled,1.0,yes,good
no checking,12.0,existing paid,furniture/equipment,763.0,1<=X<4,none,real estate,26.0,own,1.0,skilled,1.0,yes,good
no checking,6.0,existing paid,retraining,1238.0,unemployed,none,life insurance,36.0,own,1.0,high qualif/self emp/mgmt,2.0,yes,good
no checking,6.0,critical/other existing credit,radio/tv,1382.0,1<=X<4,none,car,28.0,own,2.0,skilled,1.0,yes,good
no checking,12.0,existing paid,radio/tv,3059.0,4<=X<7,none,real estate,61.0,own,1.0,unskilled resident,1.0,yes,good
0<=X<200,11.0,critical/other existing credit,new car,1322.0,1<=X<4,none,car,40.0,own,2.0,skilled,1.0,yes,good
0<=X<200,48.0,critical/other existing credit,furniture/equipment,5096.0,1<=X<4,none,car,30.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,bad
<0,12.0,existing paid,new car,1372.0,4<=X<7,none,car,36.0,own,1.0,skilled,1.0,yes,bad
no checking,4.0,critical/other existing credit,radio/tv,1544.0,4<=X<7,none,real estate,42.0,own,3.0,unskilled resident,2.0,yes,good
0<=X<200,18.0,existing paid,radio/tv,1301.0,>=7,guarantor,real estate,32.0,own,1.0,unskilled resident,1.0,yes,good
<0,12.0,existing paid,furniture/equipment,652.0,>=7,none,life insurance,24.0,rent,1.0,skilled,1.0,yes,good
>=200,6.0,existing paid,furniture/equipment,2116.0,1<=X<4,none,real estate,41.0,own,1.0,skilled,1.0,yes,good
no checking,24.0,existing paid,retraining,937.0,<1,none,car,27.0,own,2.0,unskilled resident,1.0,yes,good
<0,12.0,critical/other existing credit,furniture/equipment,2246.0,>=7,none,life insurance,60.0,own,2.0,skilled,1.0,yes,bad
no checking,24.0,critical/other existing credit,repairs,5507.0,>=7,none,no known property,44.0,for free,2.0,skilled,1.0,yes,good
no checking,6.0,existing paid,furniture/equipment,1543.0,1<=X<4,none,real estate,33.0,own,1.0,skilled,1.0,yes,good
>=200,12.0,existing paid,new car,1330.0,<1,none,real estate,26.0,own,1.0,skilled,1.0,yes,good
>=200,6.0,critical/other existing credit,education,1047.0,1<=X<4,none,life insurance,50.0,own,1.0,unskilled resident,1.0,yes,good
no checking,39.0,existing paid,used car,8588.0,>=7,none,car,45.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
no checking,30.0,critical/other existing credit,radio/tv,4530.0,4<=X<7,none,car,26.0,rent,1.0,high qualif/self emp/mgmt,1.0,yes,good
<0,47.0,existing paid,new car,10722.0,<1,none,real estate,35.0,own,1.0,unskilled resident,1.0,yes,good
0<=X<200,18.0,existing paid,business,2622.0,1<=X<4,none,car,34.0,own,1.0,skilled,1.0,yes,good
no checking,13.0,existing paid,radio/tv,1409.0,unemployed,none,real estate,64.0,own,1.0,skilled,1.0,yes,good
no checking,36.0,existing paid,business,5742.0,4<=X<7,none,car,31.0,own,2.0,skilled,1.0,yes,good
no checking,12.0,critical/other existing credit,new car,926.0,unemployed,none,life insurance,38.0,own,1.0,unemp/unskilled non res,1.0,yes,good
0<=X<200,12.0,existing paid,radio/tv,1534.0,<1,none,real estate,23.0,rent,1.0,skilled,1.0,yes,bad
<0,18.0,existing paid,radio/tv,3190.0,1<=X<4,none,real estate,24.0,own,1.0,skilled,1.0,yes,bad
0<=X<200,12.0,existing paid,new car,1223.0,>=7,none,real estate,46.0,rent,2.0,skilled,1.0,yes,bad
0<=X<200,12.0,existing paid,furniture/equipment,983.0,<1,none,real estate,19.0,rent,1.0,unskilled resident,1.0,yes,good
<0,18.0,delayed previously,education,8471.0,1<=X<4,none,car,23.0,rent,2.0,skilled,1.0,yes,good
<0,15.0,existing paid,domestic appliance,1275.0,1<=X<4,none,car,24.0,rent,1.0,skilled,1.0,yes,bad
>=200,12.0,existing paid,radio/tv,3016.0,1<=X<4,none,car,24.0,own,1.0,skilled,1.0,yes,good
no checking,28.0,all paid,used car,7824.0,<1,guarantor,real estate,40.0,rent,2.0,skilled,2.0,yes,good
no checking,15.0,critical/other existing credit,radio/tv,1471.0,1<=X<4,none,no known property,35.0,for free,2.0,skilled,1.0,yes,good
>=200,15.0,existing paid,business,2687.0,4<=X<7,none,life insurance,26.0,rent,1.0,skilled,1.0,yes,good
0<=X<200,10.0,all paid,radio/tv,1048.0,1<=X<4,none,real estate,23.0,own,1.0,unskilled resident,1.0,yes,good
<0,48.0,no credits/all paid,used car,4605.0,>=7,none,no known property,24.0,for free,2.0,skilled,2.0,yes,bad
no checking,24.0,critical/other existing credit,other,6314.0,unemployed,co applicant,no known property,27.0,own,2.0,high qualif/self emp/mgmt,1.0,yes,good
no checking,6.0,existing paid,furniture/equipment,1766.0,1<=X<4,none,life insurance,21.0,rent,1.0,skilled,1.0,yes,good
no checking,12.0,critical/other existing credit,new car,1495.0,>=7,none,real estate,38.0,own,2.0,unskilled resident,2.0,yes,good
0<=X<200,48.0,no credits/all paid,business,3844.0,4<=X<7,none,no known property,34.0,for free,1.0,unskilled resident,2.0,yes,bad
no checking,18.0,existing paid,repairs,1943.0,<1,none,real estate,23.0,own,1.0,skilled,1.0,yes,bad
0<=X<200,30.0,all paid,furniture/equipment,3496.0,1<=X<4,none,car,34.0,own,1.0,skilled,2.0,yes,good
no checking,24.0,existing paid,used car,2603.0,1<=X<4,none,car,28.0,rent,1.0,skilled,1.0,yes,good
<0,12.0,existing paid,radio/tv,727.0,<1,none,no known property,33.0,own,1.0,unskilled resident,1.0,yes,bad
0<=X<200,11.0,delayed previously,radio/tv,4771.0,4<=X<7,none,life insurance,51.0,own,1.0,skilled,1.0,yes,good
<0,6.0,critical/other existing credit,radio/tv,338.0,>=7,none,car,52.0,own,2.0,skilled,1.0,yes,good
0<=X<200,12.0,critical/other existing credit,new car,3124.0,<1,none,real estate,49.0,own,2.0,unskilled resident,2.0,yes,good
>=200,12.0,critical/other existing credit,new car,939.0,4<=X<7,none,real estate,28.0,own,3.0,skilled,1.0,yes,bad
<0,15.0,existing paid,furniture/equipment,1845.0,<1,guarantor,life insurance,46.0,rent,1.0,skilled,1.0,yes,good
no checking,12.0,critical/other existing credit,radio/tv,1655.0,>=7,none,real estate,63.0,own,2.0,unskilled resident,1.0,yes,good
0<=X<200,21.0,critical/other existing credit,furniture/equipment,2745.0,4<=X<7,none,car,32.0,own,2.0,skilled,1.0,yes,good
no checking,24.0,existing paid,furniture/equipment,5511.0,1<=X<4,none,car,25.0,own,1.0,skilled,1.0,yes,good
no checking,12.0,critical/other existing credit,radio/tv,797.0,>=7,none,life insurance,33.0,own,1.0,unskilled resident,2.0,yes,bad
<0,36.0,critical/other existing credit,furniture/equipment,6229.0,<1,co applicant,no known property,23.0,rent,2.0,unskilled resident,1.0,yes,bad
0<=X<200,12.0,critical/other existing credit,new car,958.0,4<=X<7,none,real estate,47.0,own,2.0,unskilled resident,2.0,yes,good
0<=X<200,18.0,critical/other existing credit,radio/tv,1245.0,1<=X<4,none,car,33.0,own,1.0,skilled,1.0,yes,bad
0<=X<200,12.0,existing paid,radio/tv,6468.0,unemployed,none,no known property,52.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,bad
0<=X<200,36.0,existing paid,new car,12389.0,1<=X<4,none,no known property,37.0,for free,1.0,skilled,1.0,yes,bad
<0,21.0,all paid,new car,1647.0,1<=X<4,none,life insurance,40.0,own,2.0,unskilled resident,2.0,yes,bad
no checking,6.0,existing paid,new car,672.0,unemployed,none,real estate,54.0,own,1.0,unemp/unskilled non res,1.0,yes,good
no checking,24.0,existing paid,radio/tv,1376.0,4<=X<7,none,car,28.0,own,1.0,skilled,1.0,yes,good
<0,24.0,delayed previously,radio/tv,1024.0,<1,none,real estate,48.0,own,1.0,skilled,1.0,yes,bad
>=200,10.0,critical/other existing credit,radio/tv,1347.0,4<=X<7,none,life insurance,27.0,own,2.0,skilled,1.0,yes,good
no checking,24.0,existing paid,radio/tv,1413.0,1<=X<4,none,life insurance,28.0,own,1.0,skilled,1.0,yes,good
<0,12.0,no credits/all paid,radio/tv,6199.0,1<=X<4,none,life insurance,28.0,rent,2.0,skilled,1.0,yes,bad
<0,48.0,all paid,business,7685.0,4<=X<7,guarantor,car,37.0,rent,1.0,skilled,1.0,yes,bad
<0,24.0,existing paid,used car,6579.0,unemployed,none,no known property,29.0,for free,1.0,high qualif/self emp/mgmt,1.0,yes,good
>=200,15.0,existing paid,radio/tv,2327.0,<1,none,real estate,25.0,own,1.0,unskilled resident,1.0,yes,bad
no checking,6.0,critical/other existing credit,new car,362.0,1<=X<4,none,car,52.0,own,2.0,unskilled resident,1.0,yes,good
<0,10.0,critical/other existing credit,new car,1038.0,4<=X<7,co applicant,life insurance,49.0,own,2.0,skilled,1.0,yes,good
<0,11.0,critical/other existing credit,new car,3905.0,1<=X<4,none,real estate,36.0,rent,2.0,skilled,2.0,yes,good
0<=X<200,15.0,existing paid,repairs,1514.0,1<=X<4,guarantor,real estate,22.0,own,1.0,skilled,1.0,yes,good
no checking,24.0,existing paid,furniture/equipment,3972.0,4<=X<7,none,life insurance,25.0,rent,1.0,skilled,1.0,yes,good
0<=X<200,18.0,existing paid,education,1239.0,1<=X<4,none,no known property,61.0,for free,1.0,skilled,1.0,yes,good
<0,18.0,all paid,new car,1442.0,4<=X<7,none,no known property,32.0,for free,2.0,unskilled resident,2.0,yes,bad
0<=X<200,12.0,existing paid,new car,685.0,4<=X<7,none,car,25.0,own,1.0,unskilled resident,1.0,yes,bad
0<=X<200,24.0,existing paid,new car,2718.0,1<=X<4,none,life insurance,20.0,rent,1.0,unskilled resident,1.0,yes,bad
0<=X<200,27.0,critical/other existing credit,radio/tv,2520.0,1<=X<4,none,life insurance,23.0,own,2.0,unskilled resident,1.0,yes,bad
<0,15.0,critical/other existing credit,furniture/equipment,975.0,1<=X<4,none,life insurance,25.0,own,2.0,skilled,1.0,yes,good
no checking,24.0,critical/other existing credit,used car,3868.0,>=7,none,car,41.0,rent,2.0,high qualif/self emp/mgmt,1.0,yes,good
no checking,7.0,critical/other existing credit,radio/tv,730.0,>=7,none,life insurance,46.0,rent,2.0,unskilled resident,1.0,yes,good
no checking,9.0,existing paid,radio/tv,2753.0,>=7,co applicant,car,35.0,own,1.0,skilled,1.0,yes,good
0<=X<200,9.0,existing paid,radio/tv,1670.0,<1,none,car,22.0,own,1.0,skilled,1.0,yes,bad
no checking,6.0,all paid,radio/tv,1750.0,>=7,none,life insurance,45.0,own,1.0,unskilled resident,2.0,yes,good
no checking,24.0,critical/other existing credit,furniture/equipment,1585.0,4<=X<7,none,life insurance,40.0,own,2.0,skilled,1.0,yes,good
0<=X<200,24.0,existing paid,radio/tv,1967.0,>=7,none,car,20.0,own,1.0,skilled,1.0,yes,good
>=200,4.0,existing paid,new car,1494.0,<1,none,real estate,29.0,own,1.0,unskilled resident,2.0,no,good
no checking,36.0,existing paid,radio/tv,2394.0,1<=X<4,none,car,25.0,own,1.0,skilled,1.0,yes,good
<0,18.0,critical/other existing credit,new car,5302.0,>=7,none,no known property,36.0,for free,3.0,high qualif/self emp/mgmt,1.0,yes,good
0<=X<200,60.0,existing paid,education,6288.0,1<=X<4,none,no known property,42.0,for free,1.0,skilled,1.0,yes,bad
0<=X<200,30.0,critical/other existing credit,furniture/equipment,8386.0,4<=X<7,none,life insurance,49.0,own,1.0,skilled,1.0,yes,bad
0<=X<200,30.0,no credits/all paid,business,4280.0,1<=X<4,none,car,26.0,rent,2.0,unskilled resident,1.0,yes,bad
0<=X<200,15.0,existing paid,radio/tv,1444.0,<1,none,life insurance,23.0,own,1.0,skilled,1.0,yes,good
no checking,36.0,critical/other existing credit,radio/tv,9566.0,1<=X<4,none,car,31.0,own,2.0,skilled,1.0,yes,good
0<=X<200,36.0,existing paid,education,12612.0,1<=X<4,none,no known property,47.0,for free,1.0,skilled,2.0,yes,bad
no checking,24.0,existing paid,used car,9277.0,1<=X<4,none,no known property,48.0,for free,1.0,skilled,1.0,yes,good
<0,30.0,existing paid,radio/tv,2522.0,>=7,guarantor,life insurance,39.0,own,1.0,skilled,2.0,yes,good
no checking,36.0,existing paid,used car,8133.0,1<=X<4,none,life insurance,30.0,own,1.0,skilled,1.0,yes,good
0<=X<200,9.0,existing paid,radio/tv,1206.0,>=7,none,real estate,25.0,own,1.0,skilled,1.0,yes,good
<0,36.0,existing paid,furniture/equipment,5179.0,4<=X<7,none,life insurance,29.0,own,1.0,skilled,1.0,yes,bad
0<=X<200,24.0,existing paid,radio/tv,5084.0,>=7,none,car,42.0,own,1.0,skilled,1.0,yes,good
0<=X<200,27.0,no credits/all paid,business,8318.0,>=7,none,no known property,42.0,for free,2.0,high qualif/self emp/mgmt,1.0,yes,bad
<0,30.0,existing paid,furniture/equipment,3108.0,<1,none,life insurance,31.0,own,1.0,unskilled resident,1.0,yes,bad
<0,18.0,existing paid,furniture/equipment,4153.0,1<=X<4,co applicant,car,42.0,own,1.0,skilled,1.0,yes,bad
no checking,36.0,delayed previously,radio/tv,4463.0,1<=X<4,none,car,26.0,own,2.0,high qualif/self emp/mgmt,1.0,yes,bad
no checking,9.0,existing paid,furniture/equipment,2301.0,<1,none,life insurance,22.0,rent,1.0,skilled,1.0,yes,good
0<=X<200,48.0,existing paid,new car,6560.0,4<=X<7,none,life insurance,24.0,own,1.0,skilled,1.0,yes,bad
no checking,36.0,existing paid,furniture/equipment,10974.0,unemployed,none,car,26.0,own,2.0,high qualif/self emp/mgmt,1.0,yes,bad
